FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,MAGUNCERT7,MAGUNCERT5
23.0,59811.4727902,,1.193,,5,,6,,7,,21,,25,,30,,35,,29.675,,29.534,,29.445,,28.764,,28.589,,28.261,,28.242,,0.055,,0.058,,0.063,,0.121,,0.132,,0.129,,0.161,,3755.305,,4276.311,,4643.043,,8691.828,,10209.53,,13815.87,,14053.2,,106492.1,,151585.2,,205700.2,,1811680,,2564029,,3691701,,5020827,,0.0750332204779685,0.0665102824306409
24.0,59811.4767501,,1.198,,5,,6,,7,,21,,25,,30,,35,,29.573,,29.544,,29.522,,29.262,,29.505,,29.646,,31.563,,0.054,,0.063,,0.072,,0.205,,0.328,,0.491,,3.668,,4128.056,,4241.381,,4327.536,,5498.762,,4397.291,,3859.636,,660.4808,,109637.5,,156396.2,,210615.1,,1862368,,2637056,,3794173,,5158731,,0.0795392240851918,0.0605341272678347
25.0,59811.4807121,,1.204,,5,,6,,7,,21,,25,,30,,35,,29.578,,29.418,,29.323,,28.73,,28.483,,28.478,,28.475,,0.055,,0.057,,0.061,,0.128,,0.13,,0.17,,0.217,,4095.705,,4748.129,,5178.664,,8945.144,,11229.87,,11276.09,,11307.96,,111993.5,,160042.8,,216229.8,,1906046,,2700110,,3883016,,5280918,,0.068871504013958,0.0624567632286861
26.0,59811.4846748,,1.211,,5,,6,,7,,21,,25,,30,,35,,29.813,,29.69,,29.635,,28.865,,28.629,,28.602,,28.691,,0.066,,0.071,,0.079,,0.14,,0.145,,0.186,,0.257,,3304.058,,3701.659,,3892.256,,7913.039,,9837.769,,10078.44,,9288.878,,113421.2,,161844.6,,219561.3,,1943029,,2751017,,3957536,,5382580,,0.0865861771917506,0.0750633563292316
27.0,59811.488637,,1.219,,5,,6,,7,,21,,25,,30,,35,,29.893,,29.761,,29.672,,29.032,,28.904,,28.855,,28.961,,0.063,,0.067,,0.072,,0.145,,0.165,,0.208,,0.292,,3090.485,,3488.664,,3787.451,,6827.657,,7683.428,,8038.591,,7291.968,,114816.7,,164255.3,,222420.2,,1970940,,2791373,,4016687,,5463599,,0.0966930054966809,0.0847117062405167
28.0,59811.4925995,,1.228,,5,,6,,7,,21,,25,,30,,35,,29.778,,29.661,,29.533,,29.039,,28.869,,28.679,,28.496,,0.051,,0.054,,0.057,,0.129,,0.141,,0.156,,0.168,,3406.369,,3794.342,,4270.214,,6728.498,,7870.363,,9372.298,,11093.91,,118273.1,,169205.8,,228887.2,,2025607,,2869198,,4129935,,5619610,,0.0880715369531682,0.0785867590314897
29.0,59811.4965758,,1.238,,5,,6,,7,,21,,25,,30,,35,,29.605,,29.472,,29.412,,28.495,,28.245,,28.035,,27.88,,0.047,,0.05,,0.055,,0.086,,0.087,,0.095,,0.105,,4001.761,,4525.909,,4780.899,,11125.34,,14003.61,,16989.97,,19600.53,,121355.9,,174014.8,,234175.0,,2077782,,2944281,,4236104,,5761665,,0.0822437472267762,0.0690000847909756
30.0,59811.5005405,,1.249,,5,,6,,7,,21,,25,,30,,35,,29.757,,29.701,,29.71,,29.102,,29.125,,29.091,,29.013,,0.057,,0.065,,0.076,,0.158,,0.206,,0.263,,0.312,,3473.875,,3658.465,,3628.073,,6351.489,,6216.609,,6412.58,,6895.01,,123613.7,,176359.5,,238714.4,,2118593,,3000007,,4316937,,5873497,,0.1014402752979837,0.0768346636000713
31.0,59811.5045026,,1.26,,5,,6,,7,,21,,25,,30,,35,,29.739,,29.605,,29.545,,29.048,,29.009,,29.247,,29.207,,0.06,,0.064,,0.071,,0.162,,0.2,,0.327,,0.403,,3563.755,,4033.697,,4260.125,,6736.346,,6981.223,,5607.259,,5815.103,,126226.7,,180609.3,,244138.7,,2162535,,3062216,,4405335,,5994402,,0.0870380183732065,0.0753730880680936
32.0,59811.5084648,,1.273,,5,,6,,7,,21,,25,,30,,35,,29.983,,29.859,,29.734,,28.902,,28.906,,28.764,,28.605,,0.101,,0.109,,0.113,,0.193,,0.248,,0.286,,0.316,,2859.508,,3207.352,,3597.162,,7741.648,,7714.903,,8785.468,,10178.75,,127697.8,,183363.9,,247595.5,,2206037,,3124623,,4496429,,6117886,,0.1062799243638085,0.0960348720235688
