FRAME,MJDATE,Unnamed:,XAIRMASS,Unnamed:.1,APER5,Unnamed:.2,APER6,Unnamed:.3,APER7,Unnamed:.4,APER21,Unnamed:.5,APER25,Unnamed:.6,APER30,Unnamed:.7,APER35,Unnamed:.8,MAG5,Unnamed:.9,MAG6,Unnamed:.10,MAG7,Unnamed:.11,MAG21,Unnamed:.12,MAG25,Unnamed:.13,MAG30,Unnamed:.14,MAG35,Unnamed:.15,MERR5,Unnamed:.16,MERR6,Unnamed:.17,MERR7,Unnamed:.18,MERR21,Unnamed:.19,MERR25,Unnamed:.20,MERR30,Unnamed:.21,MERR35,Unnamed:.22,FLUX5,Unnamed:.23,FLUX6,Unnamed:.24,FLUX7,Unnamed:.25,FLUX21,Unnamed:.26,FLUX25,Unnamed:.27,FLUX30,Unnamed:.28,FLUX35,Unnamed:.29,SUM5,Unnamed:.30,SUM6,Unnamed:.31,SUM7,Unnamed:.32,SUM21,Unnamed:.33,SUM25,Unnamed:.34,SUM30,Unnamed:.35,SUM35,Unnamed:.36,SEEING,MAGUNCERT7,MAGUNCERT5
23,59811.47279,,1.193,,5,,6,,7,,21,,25,,30,,35,,29.963,,29.839,,29.747,,28.746,,28.577,,28.213,,27.994,,0.076,,0.082,,0.088,,0.128,,0.14,,0.132,,0.138,,2881.79,,3229.337,,3513.613,,8840.923,,10329.02,,14437.22,,17667.65,,106153.1,,152293.4,,205355.6,,1827350,,2588731,,3726865,,5070252,,5.6066,0.1046044619426394,0.0897395376120333
24,59811.47675,,1.198,,5,,6,,7,,21,,25,,30,,35,,30.085,,30.022,,29.943,,29.629,,29.472,,29.158,,29.03,,0.089,,0.101,,0.11,,0.301,,0.333,,0.329,,0.374,,2578.105,,2731.709,,2936.14,,3922.838,,4532.367,,6049.807,,6810.255,,109103.8,,156294.4,,211242.6,,1877191,,2660042,,3829985,,5211569,,6.6473,0.1141666982808348,0.0954466430004661
25,59811.48071,,1.204,,5,,6,,7,,21,,25,,30,,35,,29.953,,29.902,,29.875,,30.309,,30.504,,30.893,,30.921,,0.081,,0.093,,0.107,,0.579,,0.888,,1.672,,2.193,,2898.413,,3039.149,,3116.979,,2089.835,,1745.85,,1220.276,,1189.168,,112106.5,,159788.5,,216992.5,,1922094,,2721632,,3917813,,5332447,,6.3613,0.1118542119418684,0.0874228977790206
26,59811.48467,,1.211,,5,,6,,7,,21,,25,,30,,35,,29.928,,29.851,,29.838,,29.082,,28.883,,28.733,,28.409,,0.075,,0.084,,0.097,,0.177,,0.189,,0.216,,0.205,,2973.526,,3191.971,,3229.816,,6479.04,,7780.177,,8931.646,,12040.03,,113772.6,,163178.6,,219839.5,,1957837,,2774480,,3992422,,5433346,,14.6024,0.1178079276835832,0.0897849367514536
27,59811.48864,,1.219,,5,,6,,7,,21,,25,,30,,35,,30.23,,30.076,,29.989,,29.78,,29.598,,29.597,,29.121,,0.091,,0.095,,0.103,,0.309,,0.335,,0.441,,0.363,,2266.001,,2610.628,,2827.606,,3429.16,,4056.184,,4057.105,,6293.931,,115207.5,,165096.4,,223882.1,,1989063,,2818064,,4056360,,5522110,,10.2987,0.1284343959480902,0.1151300157435688
28,59811.4926,,1.228,,5,,6,,7,,21,,25,,30,,35,,30.026,,29.934,,29.851,,29.423,,29.426,,29.217,,28.891,,0.067,,0.073,,0.079,,0.194,,0.249,,0.271,,0.256,,2711.146,,2950.467,,3186.567,,4722.741,,4711.936,,5710.547,,7711.248,,118709.6,,169951.4,,230213.2,,2045900,,2897186,,4170454,,5676326,,11.0433,0.1192775164265209,0.0994833937215187
29,59811.49658,,1.238,,5,,6,,7,,21,,25,,30,,35,,30.003,,29.867,,29.745,,29.268,,29.276,,28.924,,28.856,,0.073,,0.077,,0.081,,0.189,,0.244,,0.233,,0.279,,2774.715,,3144.901,,3517.106,,5458.016,,5418.122,,7495.075,,7981.728,,121764.0,,174099.7,,236563.8,,2097699,,2969618,,4276106,,5818375,,11.4126,0.1013529350009087,0.0936766764342735
30,59811.50054,,1.249,,5,,6,,7,,21,,25,,30,,35,,30.103,,29.954,,29.871,,29.372,,29.147,,29.16,,29.265,,0.08,,0.084,,0.091,,0.21,,0.218,,0.291,,0.41,,2524.634,,2895.814,,3126.382,,4950.591,,6091.194,,6017.19,,5463.325,,123922.1,,177343.6,,240578.3,,2139295,,3030003,,4360234,,5931819,,5.0588,0.119281275930015,0.1065074008217388
31,59811.5045,,1.26,,5,,6,,7,,21,,25,,30,,35,,30.149,,30.015,,29.927,,29.883,,29.823,,29.634,,29.321,,0.091,,0.096,,0.104,,0.365,,0.442,,0.489,,0.469,,2444.146,,2763.715,,2996.007,,3122.334,,3298.163,,3927.582,,5238.622,,126267.9,,181256.7,,245149.6,,2182081,,3092480,,4451607,,6057977,,6.1743,0.1302963057506906,0.1136703896477364
32,59811.50846,,1.273,,5,,6,,7,,21,,25,,30,,35,,30.446,,30.316,,30.242,,INDEF,,33.082,,INDEF,,INDEF,,0.161,,0.172,,0.188,,INDEF,,12.103,,INDEF,,INDEF,,1866.993,,2104.024,,2251.983,,-363.4168,,164.6777,,-160.988,,-2120.804,,128269.9,,184373.5,,249385.4,,2224138,,3153956,,4540594,,6177328,,56.1515,0.1684659424172019,0.1467640914264555
